title                    	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	Lsym	Laa	Gravy	Aromo	
YAL068C                  	0.2913	0.4951	0.2842	0.0805	0.628	0.696	0.817	27.82	0.504	0.497	115	120	0.254167	0.091667	
YAL068WA                	0.4605	0.3026	0.4340	0.0444	0.147	-0.064	0.398	45.27	0.301	0.357	 83	 84	-0.114286	0.142857	
YAL069W                  	0.2970	0.3366	0.3816	0.1515	0.082	-0.070	0.369	52.73	0.427	0.439	103	104	0.541346	0.067308	
YAR002CA                	0.5542	0.2410	0.3129	0.1892	0.325	0.345	0.616	40.82	0.322	0.396	211	219	-0.130594	0.095890	
YAR002W                  	0.4408	0.2227	0.4198	0.1870	0.143	0.067	0.447	51.05	0.317	0.395	533	539	-0.832653	0.070501	
YAR003W                  	0.4734	0.1834	0.3774	0.2572	0.129	0.052	0.446	50.27	0.324	0.401	410	426	-0.288498	0.093897	
YAR007C                  	0.4677	0.2742	0.3605	0.1925	0.206	0.187	0.523	50.16	0.353	0.396	604	621	-0.558937	0.095008	
YAR008W                  	0.4083	0.1835	0.4146	0.2818	0.121	0.018	0.411	57.52	0.343	0.394	265	275	-0.281818	0.087273	
YAR009C                  	0.4097	0.2500	0.4743	0.1559	0.151	0.077	0.462	49.97	0.308	0.372	1164	1196	-0.611371	0.085284	
YAR010C                  	0.4306	0.2521	0.4138	0.1751	0.144	0.061	0.449	56.08	0.332	0.411	425	440	-0.843864	0.075000	
YAR014C                  	0.4281	0.2140	0.4028	0.2842	0.120	-0.039	0.388	55.81	0.366	0.418	689	707	-1.067468	0.066478	
YAR015W                  	0.3547	0.3077	0.3613	0.2639	0.230	0.292	0.584	47.53	0.433	0.435	298	306	-0.395425	0.091503	
YAR018C                  	0.3925	0.2336	0.4330	0.2784	0.138	0.064	0.454	51.81	0.371	0.394	421	435	-0.665977	0.110345	
YAR019C                  	0.3688	0.3094	0.3528	0.2415	0.138	0.071	0.455	57.37	0.423	0.401	946	974	-0.113655	0.097536	
YAR019WA                	0.3469	0.2449	0.4286	0.2179	0.083	-0.020	0.378	49.52	0.369	0.444	111	114	-0.099123	0.096491	
YAR020C                  	0.4490	0.3265	0.3043	0.0465	0.482	0.494	0.685	34.15	0.333	0.448	 54	 55	0.558182	0.072727	
YAR023C                  	0.4029	0.2230	0.4308	0.2193	0.103	-0.032	0.405	56.90	0.333	0.404	168	179	0.073743	0.134078	
YAR027W                  	0.4545	0.1979	0.3647	0.2897	0.128	-0.001	0.425	55.31	0.350	0.374	226	235	0.093617	0.119149	
YAR028W                  	0.3825	0.2678	0.3473	0.2886	0.122	0.028	0.436	46.12	0.418	0.415	220	234	0.010684	0.111111	
YAR029W                  	0.4821	0.2321	0.4894	0.2045	0.116	-0.087	0.375	54.43	0.306	0.374	 72	 74	-0.782432	0.175676	
YAR030C                  	0.3469	0.2245	0.4231	0.2917	0.103	0.012	0.391	55.94	0.391	0.366	110	113	0.245133	0.123894	
YAR031W                  	0.4367	0.2402	0.4058	0.2526	0.107	-0.085	0.369	58.89	0.359	0.388	287	298	-0.329195	0.161074	
YAR033W                  	0.4323	0.2396	0.3256	0.2727	0.107	0.007	0.410	59.30	0.388	0.412	227	234	-0.212821	0.119658	
YAR035CA                	0.5000	0.2273	0.2105	0.2778	0.041	-0.212	0.200	*****	0.400	0.449	 25	 26	-1.100000	0.153846	
YAR035W                  	0.1282	0.5546	0.1703	0.4047	0.093	0.118	0.466	43.50	0.762	0.581	668	687	-0.385590	0.101892	
YAR042W                  	0.3286	0.3765	0.3842	0.2177	0.176	0.144	0.493	54.10	0.452	0.441	1145	1188	-0.759848	0.077441	
YAR047C                  	0.4643	0.2262	0.3913	0.2833	0.101	-0.110	0.363	61.00	0.353	0.318	102	106	0.586793	0.226415	
YAR050W                  	0.4175	0.3061	0.2978	0.1002	0.259	0.384	0.647	42.69	0.359	0.453	1483	1537	-0.163110	0.058556	
YAR053W                  	0.4302	0.1512	0.4583	0.2131	0.083	-0.164	0.323	52.69	0.271	0.323	 96	 98	0.797959	0.132653	
YAR060C                  	0.3068	0.2386	0.4889	0.1905	0.115	0.045	0.407	50.88	0.343	0.387	108	111	-0.599099	0.072072	
YAR061W                  	0.3390	0.2542	0.3810	0.2857	0.071	-0.169	0.286	60.96	0.429	0.418	 63	 67	-0.164179	0.194030	
YAR062W                  	0.4826	0.2616	0.2895	0.1418	0.249	0.298	0.594	51.34	0.339	0.433	192	198	-0.181818	0.106061	
YAR064W                  	0.4096	0.2771	0.2429	0.3333	0.088	-0.006	0.385	53.39	0.469	0.481	 96	 99	-0.296970	0.111111	
YAR066W                  	0.4389	0.3722	0.2096	0.1304	0.299	0.447	0.658	46.19	0.436	0.471	202	203	0.081281	0.083744	
YAR068W                  	0.2519	0.0815	0.4779	0.3333	0.044	-0.102	0.277	46.44	0.361	0.474	155	161	0.336646	0.055901	
YAR069C                  	0.4643	0.2381	0.2500	0.2807	0.103	-0.043	0.402	47.38	0.391	0.392	 92	 97	0.958763	0.113402	
YAR070C                  	0.3951	0.3457	0.3846	0.1607	0.113	-0.067	0.383	55.58	0.394	0.394	 94	 99	0.322222	0.141414	
YAR071W                  	0.3979	0.3824	0.3003	0.1931	0.328	0.388	0.644	41.21	0.451	0.423	452	467	-0.394219	0.130621	
YAR073W                  	0.4149	0.2941	0.3200	0.2125	0.287	0.375	0.627	43.55	0.399	0.427	383	403	-0.101489	0.084367	
YAR075W                  	0.4960	0.2800	0.3223	0.1316	0.329	0.411	0.642	41.08	0.331	0.410	151	157	-0.266242	0.076433	
YBL001C                  	0.5244	0.2195	0.3500	0.1594	0.243	0.209	0.550	44.94	0.290	0.394	100	104	-0.201923	0.048077	
YBL002W                  	0.4796	0.3265	0.2719	0.1792	0.563	0.610	0.767	33.31	0.395	0.420	129	131	-0.620611	0.053435	
YBL003C                  	0.4862	0.1927	0.3628	0.1509	0.544	0.608	0.748	31.60	0.282	0.414	131	132	-0.315909	0.030303	
YBL004W                  	0.4523	0.1947	0.4170	0.2218	0.146	0.067	0.448	49.15	0.311	0.355	2419	2493	-0.168993	0.098676	
YBL005W                  	0.4488	0.1982	0.4146	0.2476	0.148	0.060	0.451	49.38	0.326	0.360	950	976	-0.308299	0.111680	
YBL005WA                	0.4306	0.2323	0.4437	0.1611	0.143	0.078	0.455	52.85	0.307	0.411	424	440	-0.777500	0.075000	
YBL005WB                	0.4123	0.2475	0.4731	0.1463	0.141	0.053	0.446	50.31	0.304	0.383	1708	1755	-0.635385	0.079772	
YBL006C                  	0.3099	0.2746	0.3819	0.2878	0.057	-0.141	0.298	57.15	0.444	0.487	178	180	-0.436111	0.061111	
YBL006WA                	0.3846	0.2051	0.3438	0.3125	0.121	0.135	0.455	53.15	0.409	0.503	 44	 49	-0.910204	0.081633	
YBL007C                  	0.4281	0.2497	0.3985	0.1760	0.189	0.201	0.519	47.57	0.335	0.434	1187	1244	-0.654421	0.066720	
YBL008W                  	0.4147	0.2000	0.4213	0.2305	0.128	0.013	0.416	50.93	0.327	0.396	813	840	-0.383810	0.069048	
YBL008WA                	0.4167	0.2667	0.4444	0.2326	0.102	-0.056	0.413	60.15	0.347	0.338	 75	 79	-0.015190	0.126582	
YBL009W                  	0.4022	0.2251	0.4120	0.2420	0.141	0.059	0.437	52.79	0.357	0.381	659	676	-0.545414	0.075444	
YBL010C                  	0.4067	0.2010	0.4505	0.2963	0.122	0.009	0.420	56.41	0.358	0.382	274	280	-0.856071	0.071429	
YBL011W                  	0.3339	0.3339	0.3605	0.2529	0.166	0.147	0.496	53.53	0.448	0.430	736	759	-0.295389	0.086957	
YBL012C                  	0.4188	0.2650	0.3368	0.2022	0.078	-0.049	0.338	58.84	0.377	0.449	130	133	0.057895	0.112782	
YBL013W                  	0.3093	0.2853	0.3258	0.3149	0.076	-0.004	0.372	58.84	0.477	0.492	390	401	-0.237656	0.064838	
YBL014C                  	0.3904	0.2163	0.4433	0.2552	0.120	-0.019	0.405	54.69	0.348	0.393	869	894	-0.484564	0.083893	
YBL015W                  	0.3770	0.3068	0.2779	0.3097	0.217	0.311	0.589	47.73	0.472	0.460	508	526	-0.359696	0.076046	
YBL016W                  	0.2756	0.3463	0.3477	0.3393	0.110	0.054	0.440	58.56	0.510	0.458	341	353	-0.287818	0.099150	
YBL017C                  	0.4519	0.2539	0.4077	0.1968	0.163	0.061	0.457	49.93	0.337	0.390	1534	1579	-0.477707	0.112730	
YBL018C                  	0.4554	0.1782	0.4946	0.1882	0.175	0.111	0.484	50.40	0.270	0.371	126	133	-0.467669	0.112782	
YBL019W                  	0.3865	0.2029	0.4734	0.2455	0.122	0.014	0.421	49.10	0.329	0.375	504	520	-0.490962	0.088462	
YBL020W                  	0.3438	0.2872	0.3413	0.3120	0.139	0.101	0.470	54.51	0.449	0.383	555	574	0.406446	0.151568	
YBL021C                  	0.2857	0.3619	0.2909	0.3786	0.091	0.005	0.410	61.00	0.554	0.481	139	144	-0.702778	0.048611	
YBL022C                  	0.3923	0.2412	0.4161	0.2407	0.186	0.176	0.515	50.94	0.364	0.407	1103	1133	-0.582701	0.063548	
YBL023C                  	0.4544	0.1852	0.4331	0.1990	0.175	0.150	0.489	46.88	0.293	0.401	847	868	-0.637327	0.062212	
YBL024W                  	0.4788	0.2231	0.4160	0.1855	0.270	0.277	0.573	41.30	0.308	0.387	660	684	-0.580409	0.076023	
YBL025W                  	0.3534	0.2672	0.4476	0.2697	0.099	-0.128	0.364	48.44	0.385	0.402	143	145	-0.311724	0.082759	
YBL026W                  	0.2973	0.2703	0.5373	0.2258	0.169	0.169	0.522	41.20	0.370	0.347	 92	 95	-0.293684	0.094737	
YBL027W                  	0.4236	0.3056	0.3145	0.2039	0.708	0.753	0.844	28.39	0.403	0.446	186	189	-0.950794	0.037037	
YBL028C                  	0.4030	0.2985	0.5412	0.1098	0.261	0.178	0.510	45.92	0.284	0.368	102	106	-1.369811	0.047170	
YBL029CA                	0.3857	0.3429	0.4237	0.2500	0.125	0.057	0.472	57.61	0.416	0.401	 89	 94	-0.523404	0.138298	
YBL029W                  	0.4103	0.2628	0.3740	0.2531	0.117	-0.007	0.401	50.58	0.388	0.380	369	376	-0.843085	0.082447	
YBL030C                  	0.4615	0.3000	0.2735	0.1724	0.538	0.622	0.764	32.01	0.387	0.431	305	318	0.085849	0.113208	
YBL031W                  	0.3333	0.2418	0.4409	0.2542	0.131	0.100	0.465	52.58	0.383	0.398	329	338	-0.997929	0.050296	
YBL032W                  	0.3595	0.4085	0.2343	0.2727	0.191	0.215	0.542	51.50	0.521	0.463	378	381	-0.397375	0.049869	
YBL033C                  	0.3310	0.3275	0.3281	0.2754	0.112	0.042	0.417	54.90	0.470	0.481	336	345	-0.599710	0.055072	
YBL034C                  	0.4012	0.2524	0.4287	0.2555	0.148	0.039	0.445	52.39	0.368	0.354	1460	1513	-0.444679	0.091870	
YBL035C                  	0.4131	0.2252	0.4077	0.2287	0.145	0.094	0.465	50.93	0.346	0.394	694	705	-0.437872	0.082270	
YBL036C                  	0.4375	0.2240	0.4115	0.2573	0.236	0.217	0.548	43.25	0.348	0.370	250	257	-0.453696	0.073930	
YBL037W                  	0.4034	0.2077	0.3922	0.2568	0.135	0.059	0.445	52.01	0.353	0.376	1000	1025	-0.088585	0.077073	
YBL038W                  	0.3743	0.2179	0.4400	0.2500	0.154	0.156	0.487	50.94	0.357	0.397	224	232	-0.619397	0.094828	
YBL039C                  	0.4621	0.2500	0.3739	0.1869	0.309	0.352	0.619	42.26	0.335	0.402	556	579	-0.239378	0.074266	
YBL039CA                	0.1905	0.3810	0.3333	0.3846	0.103	0.031	0.409	47.00	0.591	0.432	 22	 27	0.340741	0.185185	
YBL039WB                	0.4043	0.2553	0.4167	0.2581	0.110	-0.085	0.389	60.85	0.370	0.345	 54	 59	-0.088136	0.169492	
YBL040C                  	0.4121	0.2418	0.3377	0.2707	0.182	0.199	0.527	51.91	0.386	0.364	207	219	0.410959	0.173516	
YBL041W                  	0.3970	0.2714	0.4000	0.2338	0.166	0.145	0.498	48.41	0.380	0.416	237	241	-0.436929	0.112033	
YBL042C                  	0.3907	0.2944	0.3029	0.2634	0.168	0.174	0.516	51.74	0.430	0.418	609	639	0.190923	0.154930	
YBL043W                  	0.4413	0.3052	0.3333	0.2202	0.173	0.104	0.478	61.00	0.400	0.433	255	257	-0.891440	0.077821	
YBL044W                  	0.3232	0.2929	0.3548	0.2759	0.102	0.081	0.432	61.00	0.449	0.475	118	122	-0.748361	0.057377	
YBL045C                  	0.3794	0.3388	0.3247	0.2018	0.293	0.370	0.619	41.66	0.430	0.422	444	457	-0.231510	0.076586	
YBL046W                  	0.4411	0.2477	0.3521	0.3588	0.129	-0.078	0.384	57.09	0.417	0.408	422	441	-1.035601	0.072562	
YBL047C                  	0.4361	0.2331	0.4225	0.1816	0.197	0.192	0.517	48.19	0.321	0.413	1353	1381	-0.684938	0.049240	
YBL048W                  	0.5843	0.1910	0.2090	0.2593	0.153	0.005	0.433	43.40	0.320	0.311	 97	103	1.138835	0.252427	
YBL049W                  	0.4000	0.2909	0.3511	0.2824	0.157	0.134	0.496	56.57	0.421	0.391	133	138	-0.556522	0.108696	
YBL050W                  	0.4749	0.2100	0.3714	0.2908	0.159	0.060	0.439	49.40	0.361	0.400	285	292	-0.513014	0.099315	
YBL051C                  	0.4371	0.2589	0.3947	0.1956	0.187	0.194	0.520	47.02	0.347	0.391	652	668	-0.795659	0.055389	
YBL052C                  	0.4131	0.2191	0.5155	0.1966	0.132	-0.007	0.418	49.81	0.301	0.355	807	831	-0.853309	0.101083	
YBL053W                  	0.4530	0.1709	0.3542	0.1477	0.095	0.008	0.383	47.59	0.275	0.376	120	124	0.583871	0.137097	
YBL054W                  	0.4194	0.2536	0.3455	0.2676	0.142	0.100	0.469	50.93	0.395	0.416	512	525	-0.940381	0.057143	
YBL055C                  	0.4159	0.2202	0.3609	0.3143	0.125	0.017	0.417	53.84	0.395	0.406	405	418	-0.337081	0.102871	
YBL056W                  	0.5120	0.2000	0.3708	0.2114	0.177	0.078	0.458	47.81	0.305	0.390	452	468	-0.410256	0.057692	
YBL057C                  	0.3964	0.1657	0.4121	0.2715	0.126	0.071	0.441	53.86	0.338	0.425	204	214	-0.196262	0.056075	
YBL058W                  	0.3848	0.2485	0.4159	0.2401	0.144	0.096	0.453	51.81	0.375	0.442	413	423	-0.960993	0.075650	
YBL059CA                	0.4384	0.2877	0.4026	0.3286	0.227	0.203	0.542	39.68	0.411	0.376	107	109	-1.151376	0.073394	
YBL059W                  	0.3067	0.2400	0.4823	0.2520	0.089	-0.058	0.385	56.31	0.374	0.392	182	193	-0.310881	0.088083	
YBL060W                  	0.3981	0.2648	0.4131	0.2427	0.143	0.062	0.454	57.15	0.375	0.378	658	687	-0.510626	0.096070	
YBL061C                  	0.4333	0.1630	0.4512	0.2315	0.113	-0.010	0.386	50.48	0.303	0.394	674	696	-0.684627	0.076149	
YBL062W                  	0.4673	0.2150	0.4651	0.1154	0.120	-0.008	0.402	50.64	0.262	0.354	122	126	0.837302	0.182540	
YBL063W                  	0.4000	0.2535	0.4410	0.2360	0.143	0.039	0.449	54.49	0.355	0.362	1090	1111	-0.625472	0.051305	
YBL064C                  	0.3750	0.3125	0.3454	0.2586	0.206	0.211	0.545	51.44	0.431	0.419	255	261	-0.288123	0.103448	
YBL065W                  	0.4000	0.1895	0.2436	0.4571	0.103	-0.005	0.393	46.74	0.467	0.386	107	114	0.109649	0.140351	
YBL066C                  	0.4289	0.2339	0.3799	0.2167	0.142	0.084	0.452	50.16	0.350	0.403	1116	1148	-0.521864	0.074913	
YBL067C                  	0.4746	0.2102	0.4123	0.2182	0.145	0.035	0.435	46.23	0.317	0.372	733	747	-0.706024	0.078983	
YBL068W                  	0.4743	0.1875	0.3775	0.2091	0.199	0.188	0.519	44.53	0.303	0.390	320	327	-0.060245	0.048930	
YBL068WA                	0.4483	0.3621	0.3778	0.1951	0.241	0.119	0.514	58.10	0.403	0.389	 72	 78	-0.547436	0.179487	
YBL069W                  	0.4112	0.2722	0.3388	0.2826	0.169	0.109	0.482	52.48	0.412	0.406	413	429	-0.299301	0.102564	
YBL070C                  	0.4624	0.1935	0.3718	0.1719	0.096	-0.016	0.386	46.48	0.287	0.384	101	106	0.918868	0.122642	
YBL071C                  	0.4286	0.2500	0.3919	0.1875	0.116	-0.010	0.398	50.01	0.337	0.363	 98	102	0.080392	0.107843	
YBL071CB                	0.5385	0.1538	0.3333	0.3158	0.100	-0.151	0.323	58.50	0.323	0.333	 31	 32	0.146875	0.156250	
