ORF	Length	RPF	mRNA	TE	IP	FEatg	FEcap	cRPF	cTE	uATG	utr	gc	pE	Ai	S
YAL029C	1471	20.31	79.19	0.256471776739487	0.000342376075612612	0	NA	3.17136095505674	0.040047492802838	NA	NA	NA	0.000384643363194595	5.33277879796513	0.0788929989239283
YAL030W	117	134.79	127.45	1.05759121224009	0.00130070703405774	-3.1	-11	16.4598195428435	0.129147269853617	0	23	0.347826086956522	0.00114278877839113	8.5826828867364	0.377238218901999
YAL031C	760	11.53	26.23	0.4395730080061	0.000531651094470004	-0.2	NA	1.60704694975939	0.0612675161936479	NA	NA	NA	0.000533144645589341	1.76636933792935	0.0362203982557778
YAL032C	379	19.56	24.41	0.801310938140106	0.000990911169463032	-5.7	-5	2.77761204554366	0.113789924028827	0	21	0.333333333333333	0.00101241027064714	1.6438076835248	0.0640079916065074
YAL033W	173	56.85	61.73	0.92094605540256	0.000937610987977122	0	NA	7.72412372905628	0.125127551094383	NA	NA	NA	0.000916559204736482	4.15699501450167	0.146543540176353
YAL034C	413	2.57	18.23	0.140976412506857	0.000173227764417467	-1	NA	0.3442173259825	0.0188819158520296	NA	NA	NA	0.000166930689009763	1.22763679109615	0.00788193289966981
YAL034WA	289	16.1	14.48	1.11187845303867	0.0012973484680998	-0.4	-9	2.1932599247494	0.151468226847334	0	45	0.377777777777778	0.00127156906189109	0.97510590976809	0.047689019497241
YAL035W	1002	420.29	403.99	1.04034753335479	0.00197872262793049	-0.7	-4	58.5704474185756	0.14497994360894	0	27	0.37037037037037	0.00198396262783808	27.205320199393	2.07593609822939
YAL036C	369	175.34	147.38	1.18971366535487	0.00185535472611986	-2.6	NA	24.711109454543	0.167669354420837	NA	NA	NA	0.00188129663679092	9.9248003440346	0.718134365694372
YAL038W	500	15983.24	11070.27	1.44379857040524	0.00438370345713572	0	-4	2282.71028369488	0.206201861715647	0	28	0.392857142857143	0.00450449619707279	745.489343903894	129.155919791284
YAL039C	269	43.33	21.95	1.97403189066059	0.00238014679501555	0	-3.2	6.05853293782212	0.276015168010119	0	57	0.385964912280702	0.0023944270454878	1.47814742537359	0.136127545097411
YAL040C	580	11.13	35.55	0.313080168776371	0.000420675086829678	0	-8.8	1.61816446157178	0.0455179876672793	1	322	0.397515527950311	0.000440041229757785	2.39399275499003	0.0405175198437323
YAL041W	854	27.46	53.48	0.513462976813762	0.000578077606242867	-0.9	-13.7	3.92451831608614	0.0733829154092398	0	33	0.393939393939394	0.000594416772628786	3.60142707557993	0.0823364868893904
YAL042W	415	172.3	263.39	0.65416302820912	0.000739206045091777	0	-11.7	24.1784917091037	0.0917973032731072	0	17	0.294117647058824	0.000746325911251034	17.7370956887995	0.50914054241885
YAL043C	785	30.39	55.3	0.549547920433996	0.000607659873491582	0	NA	4.26211847025421	0.0770726667315408	NA	NA	NA	0.000613160907266228	3.72398872998449	0.0878232426279421
YAL044C	170	704.01	450.75	1.56186356073211	0.00204814780537094	0	-7.3	92.422862880929	0.205042402398068	0	10	0.5	0.00193455448423818	30.354211935633	2.25853372367673
YAL044WA	110	132.76	115.43	1.15013428051633	0.00151663485025471	0	-12.7	14.4577762909545	0.125251462279776	0	2	1	0.00118832263658732	7.77323723511952	0.355273606386769
YAL046C	118	114.48	106.35	1.07644569816643	0.00117552638233747	0	NA	13.2889440873276	0.124954810412107	NA	NA	NA	0.000981775784347651	7.16177579446384	0.270433001843529
YAL047C	622	9.27	16.7	0.555089820359281	0.000665598004786149	0	NA	1.2803654927236	0.0766685923786589	NA	NA	NA	0.000661432179885159	1.1246041915143	0.0286095923808189
YAL048C	662	9.92	19.11	0.519099947671376	0.000644535880492117	-4	-13.2	1.49619616369714	0.0782938861170666	0	2	1	0.000699428050727977	1.2868973712478	0.0346189276868773
YAL049C	246	123.6	94.23	1.31168417701369	0.00195323301533089	0	NA	16.183368767497	0.171743274620577	NA	NA	NA	0.00184002446870601	6.34559598601154	0.44907891856861
YAL051W	1047	16.27	32.25	0.504496124031008	0.000646078675384459	-0.3	-8.8	2.3337055742167	0.072362963541603	0	26	0.384615384615385	0.000666749961965092	2.17176557942133	0.0556932545183181
YAL053W	783	47.4	63.73	0.743762749097756	0.000971856191218392	0	NA	6.44208673198858	0.101084053538186	NA	NA	NA	0.000950318784197085	4.29167815120997	0.156863937031656
YAL055W	180	22.93	23.24	0.986660929432014	0.0011183195593104	0	-3.4	3.18009465022405	0.136837119200691	0	1	1	0.00111588899448764	1.56501804855044	0.0671687083289216
YAL056W	880	8.51	39.15	0.217369093231162	0.000266393374058223	0	NA	1.18768569316896	0.0303367993146605	NA	NA	NA	0.000267494258994749	2.63642240106497	0.0271241483296166
YAL058W	502	22.87	44.41	0.514974104931322	0.000643633654785388	0	NA	3.28305284020054	0.0739259815402057	NA	NA	NA	0.000664767126461707	2.99063905060779	0.0764645587675659
YAL059W	212	89.21	85.66	1.04144291384544	0.00154948475892156	-1.9	NA	11.9141823775107	0.139086882763375	NA	NA	NA	0.00148887108387197	5.76847874521648	0.330327738526264
YAL060W	382	175.34	187.71	0.934100474135635	0.00135662207193152	-2.1	NA	24.9609236484824	0.132975993013065	NA	NA	NA	0.00138949699024444	12.6406857957575	0.675545956455024
YAL061W	417	27.94	21.72	1.28637200736648	0.00171553073039106	-1	NA	3.90892354208898	0.179968855528959	NA	NA	NA	0.00172682512176309	1.46265886465213	0.0971444643096453
YAR002CA	219	351.91	322.26	1.09200645441569	0.00193993252404468	-0.3	NA	50.2059142932718	0.155793192742729	NA	NA	NA	0.00199126462573482	21.7014938178083	1.66205449865402
YAR002W	539	78.64	70.67	1.11277769916513	0.00143643536244143	-1.1	-3.9	10.9599637098932	0.155086510681947	0	43	0.372093023255814	0.00144035910257747	4.75902863558777	0.263642700565218
YAR003W	426	15.95	33.97	0.469531939947012	0.000502691472096825	0	-11.5	2.15156946001287	0.0633373405950213	0	86	0.383720930232558	0.000487882548336919	2.28759307699047	0.0429260284600002
YAR007C	621	102.65	82.58	1.24303705497699	0.00182184915835782	0	NA	14.6106035138811	0.176926659165429	NA	NA	NA	0.00186569522600895	5.56106671468569	0.399048293119476
YAR008W	275	24.93	28.99	0.85995170748534	0.00102934095868374	-2.2	NA	3.22729056279688	0.111324269154773	NA	NA	NA	0.000958725162309098	1.9522320665868	0.0719866924962869
YAR014C	709	41.09	69.97	0.587251679291125	0.000704648401325916	-4.7	-11.8	6.24187991330987	0.0892079450237226	0	151	0.357615894039735	0.000770142022040033	4.71188953773986	0.139570159085548
YAR015W	306	284.91	215.52	1.32196547884187	0.00203747214095106	0	-12.6	39.303918048228	0.182367845435357	0	104	0.336538461538462	0.0020222689520632	14.5134548116864	1.12885034818637
YAR018C	435	17.35	34.73	0.499568096746329	0.000605624410617885	-3.3	NA	2.37841992410062	0.0684831535876941	NA	NA	NA	0.000597326124079388	2.33877266893962	0.0537311543630966
YAR019C	974	4.97	16.27	0.305470190534726	0.000376630677306935	-2	-10.3	0.723255069374926	0.0444532925245806	0	34	0.382352941176471	0.000394339127307998	1.09564731712202	0.0166175618027402
YAR027W	235	69.28	66.39	1.04353065220666	0.00115915148036112	0	NA	9.27905892135552	0.139765912356613	NA	NA	NA	0.00111700554689565	4.47080672303201	0.192073688797119
YAR028W	234	34.8	37.65	0.924302788844621	0.00107718234059774	-4.5	NA	4.32730175841454	0.114934973663069	NA	NA	NA	0.000963709731056016	2.53541004853374	0.0939768975380451
YAR035W	687	1.41	6.45	0.218604651162791	0.00022739080455667	0	NA	0.210190177566617	0.0325876244289329	NA	NA	NA	0.000243885109347632	0.434353115884267	0.0040743175831892
YAR042W	1188	26.06	62.26	0.418567298425956	0.000567095402468358	0	NA	3.95920776901497	0.0635915157246221	NA	NA	NA	0.000619882092155375	4.19268604572937	0.0999604229914372
YBL001C	104	377.28	280.62	1.34445157152021	0.00227751862613741	-2.1	-9.2	44.9123708774878	0.160046934920846	0	62	0.403225806451613	0.00195066736295989	18.8973909115415	1.41778937293227
YBL002W	131	1829.22	1005.72	1.81881637036153	0.00446361038668157	0	-2.8	234.49781770056	0.233164118940222	0	24	0.333333333333333	0.00411697496294795	67.7267621251356	10.7242070765659
YBL004W	2493	42.94	150.69	0.284955869666202	0.000346839322196723	-0.4	NA	6.88599415438326	0.0456964241448222	NA	NA	NA	0.000400176904553897	10.1477009352868	0.156187521100837
YBL005W	976	8.44	30.05	0.280865224625624	0.000354911870652947	-3	NA	1.14761997265378	0.0381903485076133	NA	NA	NA	0.000347212425569146	2.0236141290422	0.0270239988523361
YBL006C	180	85.13	103.9	0.81934552454283	0.000719773129018025	-2.2	NA	11.677352904566	0.112390307069933	NA	NA	NA	0.000710356703801322	6.99678895199617	0.191162151428212
YBL007C	1244	127.96	192.07	0.666215442286666	0.000995819115861079	-1.4	-11.9	18.5884251881421	0.0967794303542568	0	50	0.42	0.0010408014950232	12.9342950337816	0.517770523393498
YBL008W	840	14.18	30.82	0.460090850097339	0.000583477294635963	-4.6	NA	2.0647927087036	0.0669952209183518	NA	NA	NA	0.000611284339634074	2.0754671366749	0.0487961753105592
YBL009W	676	25.48	33.42	0.762417713943746	0.000924535157703178	-2.2	-10.5	3.79754786410087	0.113630995335155	1	38	0.394736842105263	0.000991394135989091	2.25055521439569	0.0858148939335214
YBL010C	280	21.77	22.15	0.982844243792325	0.00115746144363602	-1.4	-14.4	3.08108681422324	0.139100984840778	0	3	0.666666666666667	0.00117861271376392	1.49161573904442	0.0676168182341585
YBL011W	759	31.5	86.24	0.36525974025974	0.000484158590348789	-1.9	-9.7	4.27814056149214	0.0496073812788977	1	102	0.343137254901961	0.00047309811726482	5.80753685486188	0.105674413537739
YBL013W	401	7.92	11.78	0.6723259762309	0.000718970874408651	-0.1	-3.5	1.03648363981499	0.0879867266396428	0	67	0.388059701492537	0.000676967234860836	0.793283675211885	0.0206548867718627
YBL014C	894	5.62	38.54	0.145822522055008	0.000173907551640695	-2.4	NA	0.758478142341038	0.0196802839216668	NA	NA	NA	0.000168866801444409	2.59534404436894	0.0168564402853992
YBL015W	526	36.1	32.09	1.12496104705516	0.00156149139012037	0	-4.3	4.77079953835959	0.148669353018373	0	93	0.354838709677419	0.0014847134495714	2.16099092848467	0.123402011381653
YBL016W	353	48.73	49.77	0.979103877838055	0.001059279543249	0	NA	6.91340378556503	0.138907048132711	NA	NA	NA	0.00108124765637883	3.35158985698604	0.13938071838497
YBL017C	1579	70.79	121.31	0.583546286373753	0.000801627305124299	-1.2	NA	8.9273165502263	0.0735909368578543	NA	NA	NA	0.000727345248491114	8.16920565704192	0.228532035330622
YBL018C	133	89.59	95.47	0.938409971718865	0.00135787829080271	-0.1	-9.6	11.4702543270219	0.120145117073655	1	34	0.382352941176471	0.001250816029197	6.42909953077069	0.309293105630418
YBL019W	520	6.32	11.83	0.534234995773457	0.000661492658252041	-2.4	-13.3	0.835000649020298	0.0705833177531951	0	33	0.393939393939394	0.000628801899991886	0.796650753629593	0.0192667502889329
YBL020W	574	21.07	53.16	0.396350639578631	0.000489374629709718	-1.5	-9.5	2.90555492387739	0.0546567893882128	0	56	0.392857142857143	0.000485540081232192	3.57987777370661	0.0668528517325701
YBL021C	144	59.03	41.35	1.42756952841596	0.00145631453831535	-1.7	-7.1	7.53536272128626	0.182233681288664	0	48	0.395833333333333	0.00133753651219974	2.7845738514441	0.143248815277813
YBL022C	1133	86.38	157.64	0.547957371225577	0.000774844858540472	-1.3	-11.9	12.8328981855379	0.08140635743173	0	120	0.358333333333333	0.000828219376347909	10.6157248353482	0.33815957702358
YBL023C	868	38.37	45.47	0.843853089949417	0.00122593718947744	0	NA	5.70856317202864	0.125545704245187	NA	NA	NA	0.00131226732180223	3.06202111306319	0.154545778666974
YBL024W	684	175.54	171.82	1.02165056454429	0.00170596767853486	-1.6	NA	26.1074816048475	0.151946697735115	NA	NA	NA	0.00182548709653811	11.57062827461	0.8123858697746
YBL025W	145	37.53	28.85	1.30086655112652	0.00148903615218587	0	-5.1	4.78464080666758	0.165845435239777	0	49	0.408163265306122	0.00136582513186897	1.94280424701722	0.102058879495304
YBL026W	95	282.35	210.33	1.342414301336	0.00188474182452576	-1.7	NA	31.3725268091609	0.149158592731236	NA	NA	NA	0.001506720361522	14.1639520719283	0.820812114861389
YBL028C	106	341.25	190.36	1.7926560201723	0.00345167170061687	-1.4	-6.9	38.1027193907346	0.200161375240253	0	28	0.392857142857143	0.00277288511426407	12.819140951896	1.36715404319866
YBL029CA	94	34.95	31.41	1.1127029608405	0.00139538861376009	0	-7.6	3.82953975197457	0.121921036357038	1	118	0.355932203389831	0.00110005312449587	2.11519866200385	0.0894934960410313
YBL029W	376	3.31	3.01	1.09966777408638	0.0012224815001223	0	NA	0.440703648127596	0.146413172135414	NA	NA	NA	0.0011710623798643	0.202698120745991	0.00912969783364697
YBL030C	318	769.85	462.75	1.66364127498649	0.00371775853567195	-0.7	-3.9	100.156603205595	0.216437824323273	0	141	0.354609929078014	0.00347995585310406	31.1623107558828	4.17090252735316
YBL031W	338	11.16	23.59	0.473081814328105	0.000580294982343666	0	-9.8	1.57938051634741	0.0669512724182878	0	31	0.419354838709677	0.000590868011891442	1.58858759747439	0.0361017536705807
YBL032W	381	193.91	185.75	1.04393001345895	0.00142674138440215	0	NA	26.1050596827554	0.140538679314969	NA	NA	NA	0.00138193884587096	12.5086963217833	0.664855898395213
YBL033C	345	60.3	46.79	1.28873690959607	0.00139353304257377	0	-1.5	8.28716185640592	0.177113952904593	0	29	0.379310344827586	0.00137792272281405	3.15091198329067	0.166988969975512
YBL034C	1513	12.35	29.11	0.424252834077637	0.000545434335661062	-6.4	NA	1.59496912938331	0.0547911071584784	NA	NA	NA	0.000506811989122608	1.9603130547893	0.0382119291769532
YBL035C	705	26.96	37	0.728648648648649	0.000919306945416633	-1.6	NA	3.89840799399272	0.10536237821602	NA	NA	NA	0.000956416421858759	2.49163802910354	0.0916555203216317
YBL036C	257	177.86	119.5	1.48836820083682	0.00242036546368396	-2.4	-6.2	24.4821554068567	0.204871593362818	0	17	0.294117647058824	0.00239701853299821	8.04731741832091	0.741906499716712
YBL037W	1025	20.02	36.83	0.543578604398588	0.000671115081487989	-0.6	NA	2.81233957605148	0.0763600210711779	NA	NA	NA	0.00067829679641539	2.48018996248334	0.0647040348482329
YBL038W	232	73.08	61.09	1.19626780160419	0.00167322040999217	-1.6	-10.2	9.76992686085173	0.159926777882661	0	75	0.373333333333333	0.00160940375195259	4.11389641075501	0.254650781485132
YBL039C	579	317	307.45	1.03106196129452	0.00177466075228257	0	NA	46.9844028307832	0.152819654678104	NA	NA	NA	0.00189246944363635	20.7041651904834	1.50699999919189
YBL040C	219	150.38	125.4	1.19920255183413	0.00165035913744763	-2.1	-7.4	21.9924000116933	0.17537799052387	0	29	0.379310344827586	0.00173652120051334	8.44463267161039	0.564010910184577
YBL041W	241	394.77	287.94	1.37101479474891	0.00191150747131409	-0.4	-8	53.63334394217	0.186265694041016	0	32	0.40625	0.00186846865058694	19.3903311918939	1.39347022909815
YBL042C	639	52.38	79.95	0.65515947467167	0.000913240758986099	-1.6	-6.4	7.47935262390594	0.0935503767843145	0	57	0.385964912280702	0.00093821610467228	5.38395838991428	0.194281402627039
YBL045C	457	128.56	121.69	1.05645492645246	0.00183394030977513	0	-8	18.4891681964405	0.151936627466846	0	98	0.357142857142857	0.00189764857195107	8.19479545301649	0.598109303417224
YBL046W	441	28.08	24.89	1.12816392125352	0.00135732638514195	-1.3	-8.5	3.69159313521412	0.148316317204264	0	9	0.555555555555556	0.00128386718845562	1.67613163633479	0.0827665542854874
YBL047C	1381	135.15	170.63	0.792064701400692	0.00114591928561094	0	NA	23.2353060859789	0.136173627650348	NA	NA	NA	0.00141744252705834	11.4904918082686	0.62642737484059
YBL050W	292	202.71	137.87	1.47029810691231	0.00186492347749462	-1.4	-7.2	27.2935217600794	0.197965632552981	0	68	0.382352941176471	0.00180661038474491	9.28438202898664	0.645125422673319
YBL051C	668	77.82	97.1	0.801441812564367	0.00111169055241139	-0.3	-8.6	10.7307622350961	0.110512484398518	0	64	0.40625	0.0011029157603021	6.53886628718795	0.277377641640295
YBL052C	831	5.66	38.97	0.145239928149859	0.000189036581372178	-1.4	NA	0.803034665432765	0.0206064835882157	NA	NA	NA	0.000192966890654551	2.62430091876122	0.0194770457090475
YBL054W	525	29.45	32.53	0.905318167845066	0.00107713551339044	-0.4	NA	4.13233313291416	0.127031451980146	NA	NA	NA	0.00108742535072546	2.19062121856049	0.0916206556499915
YBL055C	418	25.58	43.92	0.582422586520947	0.0006849504032425	0	NA	3.56969098572746	0.081277117161372	NA	NA	NA	0.000687714672548084	2.95764168211426	0.078231291574222
YBL056W	468	125.77	217.37	0.578598702672862	0.000837227637196558	0	NA	17.6969669625101	0.0814140266021537	NA	NA	NA	0.000847587254541378	14.6380367131416	0.477192821137213
YBL057C	208	85.41	103.87	0.822277847309136	0.00108004718368422	-2.1	NA	11.5079410269462	0.110791768816272	NA	NA	NA	0.0010470097276916	6.99476870494554	0.281676572193491
YBL058W	423	200.82	173.47	1.15766414942065	0.0015844178502149	0	-9.3	27.7725341936251	0.160099926175276	0	42	0.380952380952381	0.00157651227317101	11.6817418623944	0.708323439156937
YBL059CA	109	103.72	85.79	1.20899871779928	0.00170235960286386	0	NA	11.9696810971243	0.139523034119645	NA	NA	NA	0.00141348257419834	5.77723314910252	0.314077630128362
YBL059W	193	17.46	22.95	0.76078431372549	0.000832738078426449	-2.4	NA	2.44877209249811	0.106700309041312	NA	NA	NA	0.000840294718555404	1.54548899372774	0.049948701500574
YBL060W	687	10.17	17.26	0.589223638470452	0.00073135991971655	-0.2	NA	1.56732360752431	0.0908066980025669	NA	NA	NA	0.000810938576887769	1.16231546979263	0.0362525558833951
YBL061C	696	40.11	69.23	0.579373104145602	0.000705573800300925	0	-8.6	5.95207568378413	0.0859753818255688	0	101	0.346534653465347	0.000753316206915961	4.66205677715779	0.135077035684437
YBL063W	1111	8.86	24.72	0.358414239482201	0.000450119426737857	-1.4	-10.5	1.27174965409997	0.0514461834182836	0	18	0.277777777777778	0.000464852044604754	1.66468356971458	0.0297627523462217
YBL064C	261	132.34	116.34	1.13752793536187	0.00163759482867193	-0.3	-8.8	18.2248066055852	0.156651251552219	0	13	0.384615384615385	0.00162254719685434	7.83451806232179	0.488918281566343
YBL066C	1148	5.1	17.83	0.286034772854739	0.000361088891348197	-3.4	-11.6	0.816042498148046	0.0457679471759981	1	68	0.382352941176471	0.000415695966496387	1.20070016375449	0.0191971621170882
YBL067C	747	21.72	71.68	0.303013392857143	0.000403638034171318	-3.2	-8.9	3.19103475701679	0.0445177839985601	0	268	0.369402985074627	0.000426660932454163	4.82704361962546	0.0792119589133199
YBL068W	326	91.66	101.9	0.899509322865554	0.00131315556908325	-1.5	NA	12.5617404897518	0.123275176543197	NA	NA	NA	0.00129480755931523	6.86210581528787	0.341734864709837
YBL069W	429	50.64	44.74	1.1318730442557	0.00154886271775532	-1.8	NA	6.96945893504802	0.155776909589808	NA	NA	NA	0.00153368925431245	3.01286176816466	0.177722835329344
YBL071WA	82	166.8	112.23	1.48623362737236	0.00193718603024202	-0.2	-4.6	17.3584136371551	0.154668213821216	0	44	0.363636363636364	0.00145045546061661	7.55774421638624	0.421621975715423
YBL074C	355	18.18	28.42	0.639690358902182	0.000815271729585579	-2.8	-9.2	2.39371846945462	0.0842265471307043	0	15	0.333333333333333	0.000772326002699056	1.91384737262494	0.0568505419644427
YBL076C	1072	484.32	786.07	0.616128334626687	0.00116813118838331	-1.1	-9.3	73.3749606999099	0.0933440542189753	0	18	0.277777777777778	0.00127328663230598	52.9351866361466	2.59237175086259
YBL078C	117	54.38	29.02	1.87388008270159	0.0024936405557802	0	NA	6.07232832449728	0.209246324069513	NA	NA	NA	0.00200340603083324	1.95425231363743	0.150583110419655
YBL079W	1502	34.2	102.76	0.332814324639938	0.000444098758642646	-0.3	-9.7	5.15664645816676	0.0501814563854298	0	95	0.357894736842105	0.000481770154722816	6.92001956407244	0.128225342156465
YBL080C	541	8.61	16.56	0.519927536231884	0.00062888060726243	-1.2	-12	1.16441935173033	0.0703151782445849	0	17	0.294117647058824	0.000611918449876747	1.11517637194472	0.0262460383407534
YBL082C	458	30.63	55.02	0.556706652126499	0.000606822044603928	0	NA	4.30231364621936	0.0781954497677092	NA	NA	NA	0.000613247099490373	3.70513309084532	0.087390850814873
YBL085W	980	27.58	52.08	0.529569892473118	0.000649955114290545	0	-4.3	3.74610288863137	0.0719297789675763	0	209	0.382775119617225	0.000635166942555578	3.50714887988412	0.0856778858124315
YBL086C	466	19.65	21.23	0.925577013659915	0.00115360307568074	-2.2	NA	3.01097806180641	0.141826569091211	NA	NA	NA	0.00127180498786193	1.4296614961586	0.0699327162218715
YBL088C	2787	1.59	20.5	0.0775609756097561	9.19283749537625e-05	0	NA	0.22954354862131	0.0111972462742102	NA	NA	NA	9.54853253324697e-05	1.38050215126007	0.00506991142443239
YBL089W	459	18.07	25.63	0.705033164260632	0.000832117409854262	-1.7	NA	2.57903303476848	0.100625557345629	NA	NA	NA	0.000854481064629821	1.72596439691686	0.0567232267457956
YBL090W	177	84.23	66.73	1.2622508616814	0.0015314008837187	0	-6.3	11.3681584407033	0.170360534103152	0	32	0.40625	0.00148706959021629	4.49370285627242	0.257017264039647
YBL091C	421	181.94	172.9	1.05228455754772	0.0016127581838295	-7.4	-8.6	25.0944890980658	0.145138745506453	0	32	0.40625	0.00160043670968205	11.6433571684325	0.716709855242269
YBL091CA	175	36.32	29.53	1.22993565865222	0.00141397872393779	0	-10.9	4.91591715025929	0.166471965806275	0	14	0.357142857142857	0.0013769579312724	1.98859651349805	0.105315913129299
YBL092W	130	9582.88	6165.91	1.55417124155234	0.0046292952586942	0	-5.6	1194.27304161193	0.19368966488514	10	366	0.407103825136612	0.00415089303912493	415.222049730536	66.2900890737564
YBL093C	220	85.08	76.73	1.1088231460967	0.001218844883961	0	-5.7	11.6245923565987	0.151499965549312	0	81	0.37037037037037	0.00119816815281277	5.16711853981392	0.238118341392826
YBL095W	270	8.64	42.65	0.202579132473623	0.000246814436322467	-2.3	-7.4	1.19140467361553	0.0279344589358857	2	45	0.377777777777778	0.000244869783517796	2.87211789030449	0.0270498033090943
YBL097W	754	18.34	27.15	0.675506445672192	0.0009086315386601	-1.7	NA	2.45045249726098	0.0902560772471817	NA	NA	NA	0.000873481770894022	1.82832358081517	0.0614233584283743
YBL098W	460	31.23	38.3	0.815404699738904	0.0011838921929782	-4.2	-11.8	4.33472110401629	0.113178096710608	0	31	0.419354838709677	0.00118228019556703	2.57918206796394	0.117281379989054
YBL099W	545	560.29	480.23	1.16671178393686	0.00240718783191821	0	NA	76.3233299373996	0.158930783036044	NA	NA	NA	0.00235924748276367	32.3394413707134	2.93449021722457
YBL101C	1117	15.97	39.7	0.402267002518892	0.000495701052712006	-4.2	NA	2.41872307842524	0.0609250145699053	NA	NA	NA	0.000540157182950997	2.67346026365975	0.0555418755673031
YBL102W	215	95.5	115.37	0.827771517725579	0.000799419841629723	0	-13	13.1053666342854	0.113594232766624	0	107	0.327102803738318	0.000789295831217491	7.76919674101827	0.235853638445932
